Gender;Umur;Jurusan/Program Studi;Jam Belajar per Hari;Jam Tidur per Hari;IPK;Jumlah Tugas Besar per Minggu;Frekuensi Olahraga;Pemasukan Keluarga;Status Hubungan;Label
Perempuan;22;Desain Komunikasi Visual;6;5;03.39;4;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;21;Teknik Informatika;7;3;0,178472222;1;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;20;Teknik Informatika;5;3;0,148611111;0;Sering;Sedang;Jomblo;Sehat
Laki-laki;20;Sistem Informasi;4;6;0,136805556;4;Kadang;Sedang;Jomblo;Sehat
Perempuan;22;Hukum;1;8;02.05;1;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;18;Ekonomi;3;3;03.21;5;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;18;Kedokteran;7;9;0,177777778;3;Kadang;Tinggi;Jomblo;Sehat
Perempuan;23;Hukum;1;7;0,128472222;5;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;23;Psikologi;3;5;0,138194444;2;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Teknik Informatika;2;4;0,139583333;1;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Psikologi;2;3;03.12;5;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;21;Ekonomi;5;4;02.46;4;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;24;Psikologi;6;3;0,169444444;4;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;22;Hukum;2;5;02.59;0;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Psikologi;5;8;03.41;3;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;23;Ekonomi;7;7;03.03;1;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;22;Ekonomi;1;5;03.17;5;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;22;Ekonomi;2;4;02.36;3;Kadang;Sedang;Jomblo;Risiko Stres
Laki-laki;23;Hukum;1;3;03.47;0;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;25;Ekonomi;1;4;02.38;2;Kadang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;19;Teknik Informatika;6;7;02.23;3;Sering;Sedang;Dalam hubungan;Risiko Stres
Perempuan;23;Desain Komunikasi Visual;2;9;03.09;0;Kadang;Rendah;Jomblo;Sehat
Perempuan;18;Ekonomi;1;5;03.42;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;21;Psikologi;6;4;02.01;2;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;23;Kedokteran;6;4;02.14;4;Kadang;Tinggi;Jomblo;Risiko Stres
Perempuan;19;Psikologi;2;7;0,167361111;0;Jarang;Rendah;Jomblo;Sehat
Perempuan;20;Kedokteran;6;9;0,168055556;4;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;18;Psikologi;2;3;02.49;2;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;20;Hukum;2;9;03.23;0;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;24;Psikologi;3;4;0,145138889;0;Kadang;Tinggi;Jomblo;Sehat
Perempuan;23;Hukum;1;7;03.27;2;Kadang;Sedang;Jomblo;Sehat
Perempuan;18;Hukum;4;3;0,175694444;1;Kadang;Sedang;Jomblo;Sehat
Laki-laki;21;Ekonomi;2;9;02.16;0;Jarang;Tinggi;Jomblo;Sehat
Perempuan;23;Teknik Informatika;1;9;03.56;2;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;21;Kedokteran;7;9;0,152083333;3;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;25;Ekonomi;6;8;03.13;4;Kadang;Tinggi;Jomblo;Sehat
Perempuan;22;Ekonomi;5;3;03.31;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;20;Desain Komunikasi Visual;2;9;0,184027778;3;Jarang;Sedang;Jomblo;Sehat
Perempuan;18;Hukum;6;8;02.11;0;Kadang;Rendah;Jomblo;Risiko Stres
Laki-laki;21;Hukum;6;5;02.06;1;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;19;Kedokteran;6;7;02.36;2;Jarang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;21;Psikologi;6;9;0,192361111;0;Sering;Sedang;Jomblo;Sehat
Perempuan;19;Psikologi;6;3;03.43;2;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;23;Ekonomi;2;8;03.23;5;Sering;Sedang;Jomblo;Sehat
Laki-laki;18;Sistem Informasi;7;8;02.09;0;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;21;Sistem Informasi;4;5;0,177777778;1;Sering;Rendah;Jomblo;Sehat
Perempuan;24;Psikologi;3;6;0,16875;1;Jarang;Tinggi;Jomblo;Sehat
Perempuan;21;Sistem Informasi;6;7;03.33;3;Kadang;Sedang;Jomblo;Sehat
Laki-laki;25;Desain Komunikasi Visual;6;6;0,130555556;1;Jarang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;24;Psikologi;3;3;02.14;2;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;18;Hukum;7;7;03.16;5;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;25;Ekonomi;7;5;03.44;1;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;21;Teknik Informatika;2;3;02.19;0;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;19;Ekonomi;1;7;03.27;1;Kadang;Sedang;Jomblo;Sehat
Laki-laki;21;Psikologi;5;7;02.57;5;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;20;Desain Komunikasi Visual;5;6;03.53;2;Jarang;Sedang;Dalam hubungan;Sehat
Laki-laki;23;Psikologi;1;3;03.08;0;Sering;Rendah;Dalam hubungan;Sehat
Perempuan;22;Ekonomi;2;5;02.26;3;Jarang;Sedang;Jomblo;Risiko Stres
Laki-laki;19;Desain Komunikasi Visual;5;5;03.05;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;20;Desain Komunikasi Visual;7;3;0,138194444;3;Jarang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;24;Desain Komunikasi Visual;3;3;02.36;0;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;23;Kedokteran;1;8;0,172222222;3;Sering;Rendah;Jomblo;Sehat
Laki-laki;18;Psikologi;7;4;02.02;1;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;19;Sistem Informasi;4;6;0,126388889;0;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;22;Sistem Informasi;2;3;02.03;0;Sering;Rendah;Dalam hubungan;Risiko Stres
Perempuan;23;Psikologi;1;3;02.19;0;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;24;Psikologi;5;4;02.59;4;Sering;Sedang;Dalam hubungan;Risiko Stres
Perempuan;25;Kedokteran;2;4;02.11;2;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;25;Sistem Informasi;3;7;03.19;4;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;22;Psikologi;2;9;02.17;4;Kadang;Sedang;Jomblo;Sehat
Perempuan;18;Psikologi;2;5;03.04;4;Kadang;Sedang;Jomblo;Sehat
Laki-laki;18;Kedokteran;3;6;02.11;2;Sering;Rendah;Jomblo;Sehat
Laki-laki;24;Kedokteran;6;7;02.12;4;Kadang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;19;Ekonomi;3;3;0,125694444;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;24;Kedokteran;7;4;0,179861111;0;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;21;Teknik Informatika;2;8;03.28;0;Jarang;Sedang;Dalam hubungan;Sehat
Laki-laki;18;Sistem Informasi;3;5;03.54;1;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;23;Ekonomi;6;7;02.28;5;Sering;Tinggi;Jomblo;Risiko Stres
Laki-laki;21;Teknik Informatika;7;8;0,171527778;3;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;25;Psikologi;1;5;02.02;2;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;25;Psikologi;3;9;02.43;5;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;20;Ekonomi;3;9;03.23;0;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;22;Kedokteran;2;8;0,135416667;4;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;21;Desain Komunikasi Visual;7;4;0,192361111;1;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Desain Komunikasi Visual;1;7;02.06;1;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;24;Psikologi;4;7;04.00;0;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;21;Desain Komunikasi Visual;4;9;03.25;3;Sering;Sedang;Jomblo;Sehat
Perempuan;24;Hukum;5;5;03.12;5;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;20;Ekonomi;3;8;02.12;1;Jarang;Sedang;Jomblo;Sehat
Laki-laki;18;Teknik Informatika;3;4;02.55;0;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;25;Ekonomi;1;3;0,184027778;3;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;20;Sistem Informasi;6;7;0,132638889;0;Kadang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;25;Kedokteran;4;3;03.32;0;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;18;Kedokteran;5;4;04.00;3;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;24;Ekonomi;1;9;02.53;3;Kadang;Rendah;Jomblo;Risiko Stres
Perempuan;18;Psikologi;3;7;03.15;3;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;25;Psikologi;4;7;03.39;0;Jarang;Sedang;Dalam hubungan;Sehat
Laki-laki;25;Hukum;7;8;02.33;1;Jarang;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;22;Hukum;5;3;02.03;2;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;23;Kedokteran;2;9;0,146527778;2;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;20;Hukum;4;8;0,136805556;0;Jarang;Rendah;Dalam hubungan;Sehat
Laki-laki;21;Teknik Informatika;5;6;03.43;0;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;25;Hukum;1;3;02.14;1;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;20;Teknik Informatika;2;3;0,190277778;3;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;22;Hukum;5;6;02.03;0;Sering;Tinggi;Jomblo;Sehat
Laki-laki;18;Kedokteran;5;4;03.02;4;Sering;Rendah;Jomblo;Risiko Stres
Laki-laki;22;Kedokteran;3;4;03.13;3;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;19;Teknik Informatika;6;7;02.27;0;Sering;Sedang;Dalam hubungan;Sehat
Laki-laki;19;Ekonomi;4;5;02.03;4;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;21;Kedokteran;3;8;03.59;5;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;22;Ekonomi;7;5;0,179166667;1;Kadang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;24;Psikologi;2;7;02.57;4;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;21;Teknik Informatika;6;5;0,144444444;0;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;24;Desain Komunikasi Visual;5;3;0,132638889;2;Jarang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;21;Kedokteran;3;3;02.15;0;Kadang;Sedang;Jomblo;Sehat
Laki-laki;19;Sistem Informasi;6;6;03.35;2;Sering;Sedang;Jomblo;Sehat
Laki-laki;21;Psikologi;7;6;0,170138889;1;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Ekonomi;4;7;0,125694444;1;Kadang;Rendah;Jomblo;Sehat
Laki-laki;25;Kedokteran;7;7;0,193055556;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;18;Teknik Informatika;2;9;02.15;3;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;24;Desain Komunikasi Visual;1;7;03.32;2;Sering;Rendah;Jomblo;Sehat
Perempuan;22;Hukum;3;3;02.09;2;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;25;Desain Komunikasi Visual;2;5;0,145138889;1;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;25;Sistem Informasi;1;8;0,147222222;4;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;21;Ekonomi;3;9;02.52;2;Sering;Tinggi;Jomblo;Sehat
Perempuan;19;Psikologi;2;9;03.43;2;Jarang;Rendah;Jomblo;Sehat
Laki-laki;20;Desain Komunikasi Visual;7;9;03.44;4;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;24;Teknik Informatika;2;7;02.56;3;Sering;Tinggi;Jomblo;Sehat
Perempuan;25;Sistem Informasi;6;7;0,171527778;3;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;21;Teknik Informatika;7;3;0,127083333;2;Sering;Sedang;Jomblo;Risiko Stres
Laki-laki;23;Kedokteran;3;8;03.45;3;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;18;Hukum;2;3;02.24;3;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;18;Psikologi;5;8;02.34;5;Kadang;Sedang;Dalam hubungan;Sehat
Laki-laki;20;Teknik Informatika;3;3;0,127083333;3;Jarang;Sedang;Dalam hubungan;Risiko Stres
Perempuan;19;Ekonomi;2;5;03.19;1;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;21;Kedokteran;6;7;03.29;0;Sering;Rendah;Jomblo;Sehat
Laki-laki;24;Kedokteran;1;4;0,138194444;2;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;19;Psikologi;1;4;02.16;2;Jarang;Tinggi;Jomblo;Risiko Stres
Perempuan;18;Kedokteran;5;7;0,135416667;1;Sering;Rendah;Dalam hubungan;Sehat
Perempuan;19;Ekonomi;3;9;03.38;0;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Teknik Informatika;6;7;03.34;0;Kadang;Rendah;Dalam hubungan;Sehat
Laki-laki;19;Psikologi;2;7;02.32;1;Kadang;Tinggi;Jomblo;Sehat
Laki-laki;20;Kedokteran;2;7;02.02;4;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;22;Kedokteran;1;9;03.51;4;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;20;Ekonomi;6;8;02.21;0;Sering;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;20;Hukum;7;5;02.16;4;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;22;Hukum;5;4;02.01;4;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;22;Desain Komunikasi Visual;1;6;0,14375;4;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;25;Kedokteran;1;4;03.01;0;Sering;Rendah;Dalam hubungan;Sehat
Laki-laki;25;Teknik Informatika;5;4;03.28;4;Kadang;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Psikologi;3;9;02.59;2;Kadang;Rendah;Dalam hubungan;Sehat
Perempuan;24;Kedokteran;2;3;03.42;5;Jarang;Rendah;Jomblo;Risiko Stres
Laki-laki;24;Sistem Informasi;3;7;02.34;0;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;21;Psikologi;6;7;0,170833333;1;Jarang;Sedang;Dalam hubungan;Sehat
Perempuan;20;Desain Komunikasi Visual;7;7;03.14;4;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;20;Hukum;4;3;03.17;3;Kadang;Sedang;Jomblo;Sehat
Laki-laki;18;Kedokteran;4;9;02.42;0;Sering;Tinggi;Dalam hubungan;Sehat
Laki-laki;18;Ekonomi;4;5;02.15;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;24;Sistem Informasi;5;5;0,147916667;5;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Perempuan;21;Kedokteran;1;9;03.23;2;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;23;Desain Komunikasi Visual;7;6;02.19;1;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;25;Teknik Informatika;3;5;03.09;4;Jarang;Tinggi;Dalam hubungan;Risiko Stres
Laki-laki;23;Sistem Informasi;2;9;0,191666667;3;Kadang;Sedang;Jomblo;Sehat
Perempuan;21;Desain Komunikasi Visual;4;5;03.09;4;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;18;Kedokteran;3;7;03.09;1;Sering;Sedang;Jomblo;Sehat
Laki-laki;24;Teknik Informatika;4;8;02.36;0;Kadang;Rendah;Jomblo;Sehat
Perempuan;24;Sistem Informasi;7;9;02.05;3;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;18;Teknik Informatika;4;4;02.08;3;Sering;Rendah;Dalam hubungan;Risiko Stres
Perempuan;23;Teknik Informatika;2;5;03.18;1;Jarang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Sistem Informasi;6;5;02.12;5;Kadang;Sedang;Jomblo;Risiko Stres
Laki-laki;19;Sistem Informasi;6;3;0,188888889;5;Kadang;Tinggi;Jomblo;Risiko Stres
Laki-laki;18;Teknik Informatika;7;6;02.28;4;Sering;Tinggi;Jomblo;Risiko Stres
Perempuan;19;Desain Komunikasi Visual;6;8;0,125694444;1;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;22;Hukum;5;3;0,170138889;3;Sering;Rendah;Dalam hubungan;Risiko Stres
Perempuan;21;Sistem Informasi;1;7;02.44;1;Jarang;Sedang;Dalam hubungan;Sehat
Laki-laki;21;Kedokteran;5;4;02.49;3;Kadang;Tinggi;Jomblo;Risiko Stres
Perempuan;18;Psikologi;3;6;03.28;4;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;20;Ekonomi;5;3;02.55;0;Jarang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;25;Teknik Informatika;3;9;02.43;0;Kadang;Tinggi;Jomblo;Sehat
Perempuan;23;Teknik Informatika;3;5;02.51;1;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;18;Ekonomi;1;5;0,151388889;3;Sering;Sedang;Dalam hubungan;Sehat
Perempuan;19;Hukum;2;6;0,189583333;0;Sering;Rendah;Jomblo;Sehat
Perempuan;23;Ekonomi;7;5;0,170833333;3;Sering;Sedang;Jomblo;Risiko Stres
Perempuan;20;Sistem Informasi;1;9;02.57;4;Kadang;Sedang;Dalam hubungan;Sehat
Perempuan;19;Ekonomi;7;3;0,134027778;1;Jarang;Sedang;Jomblo;Risiko Stres
Perempuan;24;Teknik Informatika;6;3;0,147916667;3;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;25;Ekonomi;6;5;0,191666667;1;Jarang;Tinggi;Jomblo;Risiko Stres
Laki-laki;22;Psikologi;5;5;02.34;3;Jarang;Rendah;Jomblo;Risiko Stres
Perempuan;19;Kedokteran;3;7;0,132638889;5;Sering;Tinggi;Dalam hubungan;Sehat
Perempuan;22;Sistem Informasi;4;4;03.46;5;Kadang;Rendah;Dalam hubungan;Risiko Stres
Laki-laki;23;Ekonomi;4;6;0,189583333;3;Sering;Sedang;Jomblo;Sehat
Laki-laki;22;Teknik Informatika;7;3;02.31;4;Sering;Sedang;Dalam hubungan;Risiko Stres
Laki-laki;23;Desain Komunikasi Visual;3;6;02.45;1;Kadang;Tinggi;Dalam hubungan;Sehat
Laki-laki;23;Kedokteran;7;7;02.45;2;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;23;Sistem Informasi;1;3;02.04;3;Sering;Rendah;Jomblo;Risiko Stres
Perempuan;23;Teknik Informatika;2;7;03.21;3;Jarang;Tinggi;Jomblo;Sehat
Laki-laki;23;Hukum;1;7;03.34;5;Kadang;Tinggi;Dalam hubungan;Sehat
Perempuan;19;Psikologi;3;8;03.21;0;Kadang;Tinggi;Dalam hubungan;Sehat
